# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.modifiable.module.model.bridge.load.module.ms,1716626833177000000,1716626893192000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1716626833177000000,1716626893192000000,8
workspaceModel.global.updates.count,1716626833177000000,1716626893192000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1716626833177000000,1716626893192000000,2
workspaceModel.mutableEntityStorage.collect.changes.ms,1716626833177000000,1716626893192000000,0
jps.modifiable.module.model.bridge.disposing.ms,1716626833177000000,1716626893192000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1716626833177000000,1716626893192000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1716626833177000000,1716626893192000000,0
workspaceModel.loading.total.ms,1716626833177000000,1716626893192000000,27
workspaceModel.updates.ms,1716626833177000000,1716626893192000000,106
workspaceModel.pre.handlers.ms,1716626833177000000,1716626893192000000,0
workspaceModel.updates.precise.ms,1716626833177000000,1716626893192000000,7
workspaceModel.to.snapshot.ms,1716626833177000000,1716626893192000000,0
workspaceModel.replace.project.model.ms,1716626833177000000,1716626893192000000,0
workspaceModel.initializing.ms,1716626833177000000,1716626893192000000,2
workspaceModel.loading.from.cache.ms,1716626833177000000,1716626893192000000,16
workspaceModel.update.unloaded.entities.ms,1716626833177000000,1716626893192000000,0
workspaceModel.check.recursive.update.ms,1716626833177000000,1716626893192000000,1
workspaceModel.collect.changes.ms,1716626833177000000,1716626893192000000,0
workspaceModel.updates.count,1716626833177000000,1716626893192000000,5
workspaceModel.init.bridges.ms,1716626833177000000,1716626893192000000,2
FilePageCache.pageLoads,1716626833177000000,1716626893192000000,287
DirectByteBufferAllocator.reclaimed,1716626833177000000,1716626893192000000,34
FilePageCache.pageLoadsAboveSizeThreshold,1716626833177000000,1716626893192000000,0
FilePageCache.maxRegisteredFiles,1716626833177000000,1716626893192000000,666
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1716626833177000000,1716626893192000000,215554
FilePageCache.uncachedFileAccess,1716626833177000000,1716626893192000000,257
DirectByteBufferAllocator.misses,1716626833177000000,1716626893192000000,283
DirectByteBufferAllocator.disposed,1716626833177000000,1716626893192000000,0
StorageLockContext.competingThreads.90P,1716626833177000000,1716626893192000000,0
DirectByteBufferAllocator.hits,1716626833177000000,1716626893192000000,4
FilePageCache.capacityInBytes,1716626833177000000,1716626893192000000,524288000
FilePageCache.maxCacheSizeInBytes,1716626833177000000,1716626893192000000,302022656
StorageLockContext.competingThreads.avg,1716626833177000000,1716626893192000000,0.0
StreamlinedBlobStorage.recordsDeleted,1716626833177000000,1716626893192000000,18
FilePageCache.pageFastCacheHits,1716626833177000000,1716626893192000000,12849
FilePageCache.totalPageLoadsUs,1716626833177000000,1716626893192000000,867231
FilePageCache.totalPageDisposalsUs,1716626833177000000,1716626893192000000,1574
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1716626833177000000,1716626893192000000,31457280
StreamlinedBlobStorage.recordsAllocated,1716626833177000000,1716626893192000000,2747
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1716626833177000000,1716626893192000000,302022656
FilePageCache.pageHits,1716626833177000000,1716626893192000000,0
StreamlinedBlobStorage.recordsRelocated,1716626833177000000,1716626893192000000,0
FilePageCache.disposedBuffers,1716626833177000000,1716626893192000000,34
StorageLockContext.competingThreads.max,1716626833177000000,1716626893192000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1716626833177000000,1716626893192000000,68515
Indexes.entries.lookupDuration90PMs,1716626893192000000,1716626927855000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1716626893192000000,1716626927855000000,0.0
Indexes.allKeys.lookups,1716626893192000000,1716626927855000000,0.0
Indexes.entries.lookupDurationMaxMs,1716626893192000000,1716626927855000000,0.0
Indexes.entries.lookupDurationAvgMs,1716626893192000000,1716626927855000000,0.0
Indexes.stubs.lookupDurationAvgMs,1716626893192000000,1716626927855000000,0.0
Indexes.stubs.lookups,1716626893192000000,1716626927855000000,0.0
Indexes.stubs.lookupDuration90PMs,1716626893192000000,1716626927855000000,0.0
Indexes.stubs.lookupDurationMaxMs,1716626893192000000,1716626927855000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1716626893192000000,1716626927855000000,0.0
Indexes.allKeys.lookupDuration90PMs,1716626893192000000,1716626927855000000,0.0
Indexes.entries.lookups,1716626893192000000,1716626927855000000,0.0
FileNameCache.queries,1716626893192000000,1716626927855000000,16
FileNameCache.fastMisses,1716626893192000000,1716626927855000000,0
FileNameCache.totalMisses,1716626893192000000,1716626927855000000,0
AWTEventQueue.dispatchTimeTotalNS,1716626893192000000,1716626927855000000,686555016
